epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97018,1.35477,2.19429,1.37422,0,0,0,0,0,0,0,0.000542114,0.000542114,0.000542114
2,11.35,1.14301,1.13729,1.15876,0,0,0,0,0,0,0,0.00108225,0.00108225,0.00108225
3,16.6029,1.0895,0.97772,1.13651,0,0,0,0,0,0,0,0.00160668,0.00160668,0.00160668
4,21.9466,1.08508,0.89368,1.12075,0,0,0,0,0,0,0,0.00159627,0.00159627,0.00159627
5,27.1929,1.08066,0.81235,1.11426,0,0,0,0,0,0,0,0.0015727,0.0015727,0.0015727
6,32.4312,1.05889,0.75999,1.10497,0,0,0,0,0,0,0,0.00154912,0.00154912,0.00154912
7,37.6331,1.03124,0.71398,1.08875,0,0,0,0,0,0,0,0.00152554,0.00152554,0.00152554
8,42.8203,1.01407,0.69065,1.08114,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
9,48.0802,1.01097,0.67401,1.07489,0,0,0,0,0,0,0,0.00147839,0.00147839,0.00147839
10,53.432,0.99893,0.66321,1.08036,0,0,0,0,0,0,0,0.00145481,0.00145481,0.00145481
11,58.6512,0.99102,0.64071,1.07485,0,0,0,0,0,0,0,0.00143124,0.00143124,0.00143124
12,63.9184,0.9748,0.60671,1.05714,0,0,0,0,0,0,0,0.00140766,0.00140766,0.00140766
13,69.1688,0.96962,0.61258,1.05774,0,0,0,0,0,0,0,0.00138409,0.00138409,0.00138409
14,74.4201,0.95631,0.60509,1.05748,0,0,0,0,0,0,0,0.00136051,0.00136051,0.00136051
15,79.7476,0.95013,0.57895,1.04621,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
16,85.0775,0.97312,0.58477,1.04363,0,0,0,0,0,0,0,0.00131336,0.00131336,0.00131336
17,90.3444,0.93109,0.57336,1.03783,0,0,0,0,0,0,0,0.00128978,0.00128978,0.00128978
18,95.7189,0.91893,0.5555,1.04115,0,0,0,0,0,0,0,0.00126621,0.00126621,0.00126621
19,101.032,0.93568,0.54683,1.0344,0,0,0,0,0,0,0,0.00124263,0.00124263,0.00124263
20,106.289,0.93966,0.54849,1.02748,0,0,0,0,0,0,0,0.00121905,0.00121905,0.00121905
21,111.643,0.93053,0.53893,1.02506,0,0,0,0,0,0,0,0.00119548,0.00119548,0.00119548
